Juego,Precio,Precio con impuestos,Link de la tienda
Click Real Fast,"ARS$ 82,00",143.5,https://store.steampowered.com/app/2215690/Click_Real_Fast/?snr=1_239_new__tab-AllNewReleases
Lying Souls™,"ARS$ 475,00",831.25,https://store.steampowered.com/app/1574110/Lying_Souls/?snr=1_239_new__tab-AllNewReleases
Blessed Work,"ARS$ 199,20",348.6,https://store.steampowered.com/app/2159050/Blessed_Work/?snr=1_239_new__tab-AllNewReleases
Project Apocalypse,"ARS$ 475,00",831.25,https://store.steampowered.com/app/1156500/Project_Apocalypse/?snr=1_239_new__tab-AllNewReleases
Zephyrus Prelude,"ARS$ 67,99",118.98,https://store.steampowered.com/app/1829960/Zephyrus_Prelude/?snr=1_239_new__tab-AllNewReleases
Super Lesbian Animal RPG,"ARS$ 161,99",283.48,https://store.steampowered.com/app/2124380/Super_Lesbian_Animal_RPG/?snr=1_239_new__tab-AllNewReleases
Warsim: The Realm of Aslona,"ARS$ 99,99",174.98,https://store.steampowered.com/app/659540/Warsim_The_Realm_of_Aslona/?snr=1_239_new__tab-AllNewReleases
Ravage Road,"ARS$ 1.105,00",1933.75,https://store.steampowered.com/app/2102240/Ravage_Road/?snr=1_239_new__tab-AllNewReleases
Disaster Band,"ARS$ 385,00",673.75,https://store.steampowered.com/app/2216360/Disaster_Band/?snr=1_239_new__tab-AllNewReleases
Death by Begonia,"ARS$ 129,99",227.48,https://store.steampowered.com/app/2095840/Death_by_Begonia/?snr=1_239_new__tab-AllNewReleases
Space Voyage: The Puzzle Game,"ARS$ 400,00",700.0,https://store.steampowered.com/app/2101690/Space_Voyage_The_Puzzle_Game/?snr=1_239_new__tab-AllNewReleases
Ranger Quest: The Adventure Begins,Free,Free,https://store.steampowered.com/app/2208000/Ranger_Quest_The_Adventure_Begins/?snr=1_239_new__tab-AllNewReleases
Fresh Start Cleaning Simulator,"ARS$ 103,99",181.98,https://store.steampowered.com/app/1856030/Fresh_Start_Cleaning_Simulator/?snr=1_239_new__tab-AllNewReleases
Don't Remember,Free To Play,Free To Play,https://store.steampowered.com/app/2194760/Dont_Remember/?snr=1_239_new__tab-AllNewReleases
Wingsuit Hero,"ARS$ 320,00",560.0,https://store.steampowered.com/app/2234570/Wingsuit_Hero/?snr=1_239_new__tab-AllNewReleases
Umbra,"ARS$ 620,00",1085.0,https://store.steampowered.com/app/2137920/Umbra/?snr=1_239_new__tab-AllNewReleases
Street volleyball - Invitation,"ARS$ 174,30",305.03,https://store.steampowered.com/app/2151360/Street_volleyball__Invitation/?snr=1_239_new__tab-AllNewReleases
Cubiti pARti,"ARS$ 67,99",118.98,https://store.steampowered.com/app/1525990/Cubiti_pARti/?snr=1_239_new__tab-AllNewReleases
Maid_hunter,"ARS$ 57,40",100.45,https://store.steampowered.com/app/2225560/Maid_hunter/?snr=1_239_new__tab-AllNewReleases
Epic Dragon,"ARS$ 82,00",143.5,https://store.steampowered.com/app/2231310/Epic_Dragon/?snr=1_239_new__tab-AllNewReleases
Super Cycle,"ARS$ 400,00",700.0,https://store.steampowered.com/app/2235230/Super_Cycle/?snr=1_239_new__tab-AllNewReleases
ThanksKilling Day,"ARS$ 970,00",1697.5,https://store.steampowered.com/app/2237010/ThanksKilling_Day/?snr=1_239_new__tab-AllNewReleases
Ricky Recharge,"ARS$ 688,50",1204.88,https://store.steampowered.com/app/958930/Ricky_Recharge/?snr=1_239_new__tab-AllNewReleases
Corpse Box Racers,"ARS$ 650,25",1137.94,https://store.steampowered.com/app/1385680/Corpse_Box_Racers/?snr=1_239_new__tab-AllNewReleases
Internet Exploring,"ARS$ 186,75",326.81,https://store.steampowered.com/app/2050870/Internet_Exploring/?snr=1_239_new__tab-AllNewReleases
Ladybugs and Storm,"ARS$ 165,00",288.75,https://store.steampowered.com/app/2237150/Ladybugs_and_Storm/?snr=1_239_new__tab-AllNewReleases
Poly Memory: Animals,"ARS$ 99,00",173.25,https://store.steampowered.com/app/2241350/Poly_Memory_Animals/?snr=1_239_new__tab-AllNewReleases
Rush Hour® Deluxe – The ultimate traffic jam game!,"ARS$ 630,00",1102.5,https://store.steampowered.com/app/2073760/Rush_Hour_Deluxe__The_ultimate_traffic_jam_game/?snr=1_239_new__tab-AllNewReleases
From The Rain,"ARS$ 249,00",435.75,https://store.steampowered.com/app/2232290/From_The_Rain/?snr=1_239_new__tab-AllNewReleases
Detective Rosie Morgan: Death at a Dinner Party,"ARS$ 440,00",770.0,https://store.steampowered.com/app/2235390/Detective_Rosie_Morgan_Death_at_a_Dinner_Party/?snr=1_239_new__tab-AllNewReleases
Kingdom Quest,"ARS$ 165,00",288.75,https://store.steampowered.com/app/2060410/Kingdom_Quest/?snr=1_239_new__tab-AllNewReleases
Rolling Rush,"ARS$ 149,99",262.48,https://store.steampowered.com/app/2055650/Rolling_Rush/?snr=1_239_new__tab-AllNewReleases
Coffee Shop Tycoon,"ARS$ 765,00",1338.75,https://store.steampowered.com/app/370060/Coffee_Shop_Tycoon/?snr=1_239_new__tab-AllNewReleases
Audio Trip,"ARS$ 224,99",393.73,https://store.steampowered.com/app/826540/Audio_Trip/?snr=1_239_new__tab-AllNewReleases
I Love Finding Birds,"ARS$ 412,50",721.88,https://store.steampowered.com/app/2161330/I_Love_Finding_Birds/?snr=1_239_new__tab-AllNewReleases
Arkio,Free,Free,https://store.steampowered.com/app/1053760/Arkio/?snr=1_239_new__tab-AllNewReleases
